system,source,source_detail,model_key,model_label,batch_size,output_len_bucket,output_label,num_requests,num_completed,num_failed,status,median_ttft_s,p99_ttft_s,median_e2e_s,p99_e2e_s,median_tpot_ms,p99_tpot_ms,gpu_peak_memory_gb,decode_throughput_tok_s,notes,throughput_vs_vllm_x,ttft_vs_vllm_x,p99_e2e_vs_vllm_x
InfiniGen,measured,raw_infinigen,llama31_8b_instruct,Llama-3.1-8B,8,1024,1k,32,32,0,ok,24.94686636305414,38.669218624942005,234.9636437559966,318.7884512646124,205.66312275701296,273.82134177875895,22.396416187286377,32.354578183296965,measured raw requests,0.2990241590431114,0.7319349672422772,0.23771327260679695
KVCore (pred.),predicted,mechanism_based_from_vllm_and_blockwisepress_prior,llama31_8b_instruct,Llama-3.1-8B,8,1024,1k,32,32,0,predicted,16.707427690029142,17.032915122520922,56.72185277938843,57.21408574461937,37.598890207285045,48.089353048031576,33.140429687499996,164.46483453372431,KVCore prediction assumes sparse block lifecycle reduces most but not all preemptions; gains grow with batch size and output length,1.52,1.092896174863388,1.3245033112582782
vLLM,measured,raw_vllm,llama31_8b_instruct,Llama-3.1-8B,8,2048,2k,32,32,0,ok,13.413697242736816,13.711139647960662,97.16865229606628,97.35673904418945,40.919609200336836,46.71073900522957,41.9072265625,168.58343739183982,measured raw requests,1.0,1.0,1.0
InfiniGen,measured,raw_infinigen,llama31_8b_instruct,Llama-3.1-8B,8,2048,2k,32,32,0,ok,24.760699742706493,26.900869709905237,554.059048612602,763.223664929159,257.8608185972138,361.1320476903037,22.491020679473877,27.576622831981375,measured raw requests,0.16357848231487185,0.5417333670744888,0.12755990611641468
KVCore (pred.),predicted,mechanism_based_from_vllm_and_blockwisepress_prior,llama31_8b_instruct,Llama-3.1-8B,8,2048,2k,32,32,0,predicted,11.938190546035765,12.202914286684988,66.07468356132507,65.22901515960693,24.5517655202021,28.02644340313774,28.077841796875003,300.07851855747487,KVCore prediction assumes sparse block lifecycle reduces most but not all preemptions; gains grow with batch size and output length,1.7799999999999998,1.1235955056179776,1.492537313432836
vLLM,measured,raw_vllm,llama31_8b_instruct,Llama-3.1-8B,8,6144,6k,32,32,0,ok,13.602355599403381,13.749994399547576,286.88215589523315,288.09239172935486,44.50134257080888,46.56275745324769,38.7861328125,171.16582704655193,measured raw requests,1.0,1.0,1.0
InfiniGen,measured,raw_infinigen,llama31_8b_instruct,Llama-3.1-8B,8,6144,6k,32,32,0,ok,24.63644545758143,27.91784135811031,1234.1604727606755,1258.5653134617023,196.74970697364148,201.17880753571225,22.869438648223877,39.80456714190132,measured raw requests,0.2325497316183077,0.5521233013432746,0.22890539620621875
KVCore (pred.),predicted,mechanism_based_from_vllm_and_blockwisepress_prior,llama31_8b_instruct,Llama-3.1-8B,8,6144,6k,32,32,0,predicted,11.766037593483924,11.893745155608652,174.9981150960922,168.53404916167258,23.585711562528708,24.678261450221278,23.853471679687498,349.17828717496593,KVCore prediction assumes sparse block lifecycle reduces most but not all preemptions; gains grow with batch size and output length,2.04,1.1560693641618498,1.7094017094017095
vLLM,measured,raw_vllm,llama31_8b_instruct,Llama-3.1-8B,16,1024,1k,32,32,0,ok,26.966924786567688,27.146316201686858,82.93788814544678,83.18801093101501,55.00548378128828,79.5193482355129,43.6044921875,197.3571131817871,measured raw requests,1.0,1.0,1.0
InfiniGen,measured,raw_infinigen,llama31_8b_instruct,Llama-3.1-8B,16,1024,1k,32,32,0,ok,50.42203628295101,51.95514728594571,517.7244983189739,533.7557854270563,456.7961505728474,473.9656501926686,29.827324390411377,31.619687686212668,measured raw requests,0.16021559687634637,0.5348241914554708,0.15585406884996394
KVCore (pred.),predicted,mechanism_based_from_vllm_and_blockwisepress_prior,llama31_8b_instruct,Llama-3.1-8B,16,1024,1k,32,32,0,predicted,23.461224564313888,23.617295095467565,56.3977639389038,55.73596732378005,33.003290268772965,47.71160894130774,29.215009765625002,347.3485191999453,KVCore prediction assumes sparse block lifecycle reduces most but not all preemptions; gains grow with batch size and output length,1.76,1.149425287356322,1.4925373134328361
vLLM,measured,raw_vllm,llama31_8b_instruct,Llama-3.1-8B,16,2048,2k,32,32,0,ok,26.97388482093811,27.595934257507324,180.37393367290497,184.5176362991333,77.00085604994877,88.05656327413557,46.80322265625,181.5799614162708,measured raw requests,1.0,1.0,1.0
InfiniGen,measured,raw_infinigen,llama31_8b_instruct,Llama-3.1-8B,16,2048,2k,32,32,0,ok,52.42864248086698,54.62208275170997,875.7962844413705,877.3991536609828,402.23138346873645,402.5198891117412,30.016533374786377,37.393815586590684,measured raw requests,0.20593580533297737,0.5144875690951145,0.21030067732482546
KVCore (pred.),predicted,mechanism_based_from_vllm_and_blockwisepress_prior,llama31_8b_instruct,Llama-3.1-8B,16,2048,2k,32,32,0,predicted,22.792932673692704,23.318564447593687,110.02809954047201,107.94281723499297,40.81045370647285,46.669978535291854,28.78398193359375,366.791522060867,KVCore prediction assumes sparse block lifecycle reduces most but not all preemptions; gains grow with batch size and output length,2.02,1.183431952662722,1.7094017094017095
vLLM,measured,raw_vllm,llama31_8b_instruct,Llama-3.1-8B,16,6144,6k,32,32,0,ok,15.388619065284729,554.0374406814575,783.3191426992416,790.0555486679077,123.93261440333619,128.17372955005825,30.1376953125,125.47664321093366,measured raw requests,1.0,1.0,1.0
InfiniGen,measured,raw_infinigen,llama31_8b_instruct,Llama-3.1-8B,16,6144,6k,32,32,0,ok,51.328218954615295,55.06139200506732,2258.2852304680273,2361.3960212199017,359.2637166715631,375.4410921723644,30.773369312286377,43.51558466356822,measured raw requests,0.3468022697293228,0.29980816359304097,0.3345713897916045
KVCore (pred.),predicted,mechanism_based_from_vllm_and_blockwisepress_prior,llama31_8b_instruct,Llama-3.1-8B,16,6144,6k,32,32,0,predicted,12.618667633533477,454.31070135879514,438.65871991157536,395.02777433395386,61.966307201668094,64.08686477502913,16.877109375,286.0867465209288,KVCore prediction assumes sparse block lifecycle reduces most but not all preemptions; gains grow with batch size and output length,2.2800000000000002,1.2195121951219514,2.0
vLLM,measured,raw_vllm,mistral_7b_instruct_v03,Mistral-7B,1,1024,1k,32,32,0,ok,1.7479339838027954,1.7661877107620239,27.60689878463745,27.89773102760315,25.305102366057394,25.58132027693224,43.2880859375,37.117577897285706,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,scaled_by_llama31_measured_infinigen_to_vllm_ratio,mistral_7b_instruct_v03,Mistral-7B,1,1024,1k,32,32,0,predicted,2.328538670944689,4.486061169342363,77.76227708349984,141.5671425265544,73.57477645454055,135.66564976067298,15.899393087895461,12.462755774765679,predicted from Llama-3.1 InfiniGen/vLLM ratio at the same batch/output setting,0.3357642518930914,0.750657056124242,0.19706360197508574
KVCore (pred.),predicted,mechanism_based_from_vllm_and_blockwisepress_prior,mistral_7b_instruct_v03,Mistral-7B,1,1024,1k,32,32,0,predicted,1.6780166244506836,1.695540202331543,22.63765700340271,23.434094063186645,18.72577575088247,18.930177004929856,33.76470703125,47.51049970852571,KVCore prediction assumes sparse block lifecycle reduces most but not all preemptions; gains grow with batch size and output length,1.28,1.0416666666666667,1.1904761904761905
vLLM,measured,raw_vllm,mistral_7b_instruct_v03,Mistral-7B,1,2048,2k,32,32,0,ok,1.7493207454681396,1.832362723350525,53.68582999706268,54.07195129394531,25.38374785920159,25.572432593050124,43.1708984375,38.112244166587466,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,scaled_by_llama31_measured_infinigen_to_vllm_ratio,mistral_7b_instruct_v03,Mistral-7B,1,2048,2k,32,32,0,predicted,2.281775973806008,20.140300497725605,154.24993730906303,175.46454324217086,74.14319635921959,79.39405543074047,15.911236031068992,13.245449769903558,predicted from Llama-3.1 InfiniGen/vLLM ratio at the same batch/output setting,0.3475379122784819,0.766648770760027,0.30816454592377013
KVCore (pred.),predicted,mechanism_based_from_vllm_and_blockwisepress_prior,mistral_7b_instruct_v03,Mistral-7B,1,2048,2k,32,32,0,predicted,1.6356148970127105,1.713259146332741,40.26437249779701,40.82432322692871,17.007111065665065,17.13352983734358,31.2989013671875,58.6928560165447,KVCore prediction assumes sparse block lifecycle reduces most but not all preemptions; gains grow with batch size and output length,1.54,1.0695187165775402,1.324503311258278
vLLM,measured,raw_vllm,mistral_7b_instruct_v03,Mistral-7B,1,6144,6k,32,32,0,ok,1.7333528995513916,1.7631562638282776,159.48911821842194,162.27831593990325,25.680533660404084,26.13515445053364,42.7646484375,38.69208439459428,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,scaled_by_llama31_measured_infinigen_to_vllm_ratio,mistral_7b_instruct_v03,Mistral-7B,1,6144,6k,32,32,0,predicted,2.2917786443243378,4.12520100423578,431.1522224766244,537.773805802022,69.77068259341185,87.12147917592058,15.958601288305639,13.81671994477433,predicted from Llama-3.1 InfiniGen/vLLM ratio at the same batch/output setting,0.3570942264021496,0.756335217558683,0.30175942782837023
KVCore (pred.),predicted,mechanism_based_from_vllm_and_blockwisepress_prior,mistral_7b_instruct_v03,Mistral-7B,1,6144,6k,32,32,0,predicted,1.5773511385917662,1.6044722000837326,108.4526003885269,108.72647167973517,15.40832019624245,15.681092670320183,28.652314453125,69.64575191026971,KVCore prediction assumes sparse block lifecycle reduces most but not all preemptions; gains grow with batch size and output length,1.8,1.098901098901099,1.492537313432836
vLLM,measured,raw_vllm,mistral_7b_instruct_v03,Mistral-7B,8,1024,1k,32,32,0,ok,13.005394101142883,13.558253371715546,51.648168325424194,51.881526470184326,37.529480433977284,49.02644581990699,43.3515625,159.72931643863123,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,scaled_by_llama31_measured_infinigen_to_vllm_ratio,mistral_7b_instruct_v03,Mistral-7B,8,1024,1k,32,32,0,predicted,17.7685104322089,28.16444865304718,160.4598743044915,218.25254392085165,137.5399158404682,187.03529655806088,21.240422735131105,47.76292452259273,predicted from Llama-3.1 InfiniGen/vLLM ratio at the same batch/output setting,0.2990241590431114,0.7319349672422774,0.23771327260679692
KVCore (pred.),predicted,mechanism_based_from_vllm_and_blockwisepress_prior,mistral_7b_instruct_v03,Mistral-7B,8,1024,1k,32,32,0,predicted,11.899935602545737,12.405801835119723,38.736126244068146,39.170552484989166,25.144751890764777,32.847718699337676,31.4298828125,242.78856098671946,KVCore prediction assumes sparse block lifecycle reduces most but not all preemptions; gains grow with batch size and output length,1.52,1.092896174863388,1.3245033112582782
vLLM,measured,raw_vllm,mistral_7b_instruct_v03,Mistral-7B,8,2048,2k,32,32,0,ok,13.449305772781372,13.551912615299225,91.90056216716766,92.49260663986206,38.461724159654636,44.29971174294182,42.5390625,178.170290548133,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,scaled_by_llama31_measured_infinigen_to_vllm_ratio,mistral_7b_instruct_v03,Mistral-7B,8,2048,2k,32,32,0,predicted,24.826430473373595,26.58847075767392,524.0202147309761,725.0915233149417,242.37210154947275,342.49181140182105,22.830118164609374,29.144825721463356,predicted from Llama-3.1 InfiniGen/vLLM ratio at the same batch/output setting,0.16357848231487185,0.5417333670744888,0.12755990611641466
KVCore (pred.),predicted,mechanism_based_from_vllm_and_blockwisepress_prior,mistral_7b_instruct_v03,Mistral-7B,8,2048,2k,32,32,0,predicted,11.96988213777542,12.061202227616308,62.492382273674004,61.97004644870757,23.07703449579278,26.57982704576509,28.501171875,317.14311717567676,KVCore prediction assumes sparse block lifecycle reduces most but not all preemptions; gains grow with batch size and output length,1.78,1.1235955056179776,1.4925373134328361
vLLM,measured,raw_vllm,mistral_7b_instruct_v03,Mistral-7B,8,6144,6k,32,32,0,ok,13.424022912979126,13.678292062282562,271.3119455575943,273.0286376476288,42.1296757931276,44.08763761203633,38.7841796875,180.88641474443608,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,scaled_by_llama31_measured_infinigen_to_vllm_ratio,mistral_7b_instruct_v03,Mistral-7B,8,6144,6k,32,32,0,predicted,24.313451144553188,27.77225770050269,1167.1777840280201,1192.757541642486,186.26407403334454,190.48481763052135,22.868287028582504,42.0650872022165,predicted from Llama-3.1 InfiniGen/vLLM ratio at the same batch/output setting,0.23254973161830766,0.5521233013432747,0.22890539620621878
KVCore (pred.),predicted,mechanism_based_from_vllm_and_blockwisepress_prior,mistral_7b_instruct_v03,Mistral-7B,8,6144,6k,32,32,0,predicted,11.611779819726943,11.831722633874415,165.5002867901325,159.72175302386282,22.328728170357632,23.366447934379256,23.8522705078125,369.00828607864963,KVCore prediction assumes sparse block lifecycle reduces most but not all preemptions; gains grow with batch size and output length,2.04,1.1560693641618498,1.7094017094017095
vLLM,measured,raw_vllm,mistral_7b_instruct_v03,Mistral-7B,16,1024,1k,32,32,0,ok,25.95594561100006,27.244846584796907,79.47370445728302,80.1377546787262,51.837357172994,76.29254936705364,44.1494140625,205.9456555897025,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,scaled_by_llama31_measured_infinigen_to_vllm_ratio,mistral_7b_instruct_v03,Mistral-7B,16,1024,1k,32,32,0,predicted,48.53173440110018,52.143723906382526,496.099969383608,514.1845527040581,430.48626399952826,454.7326979908894,30.200074093886094,32.995706134394645,predicted from Llama-3.1 InfiniGen/vLLM ratio at the same batch/output setting,0.16021559687634637,0.5348241914554708,0.15585406884996397
KVCore (pred.),predicted,mechanism_based_from_vllm_and_blockwisepress_prior,mistral_7b_instruct_v03,Mistral-7B,16,1024,1k,32,32,0,predicted,22.58167268157005,23.703016528773308,54.04211903095245,53.69229563474654,31.102414303796397,45.775529620232184,29.580107421875002,362.46435383787644,KVCore prediction assumes sparse block lifecycle reduces most but not all preemptions; gains grow with batch size and output length,1.7600000000000002,1.149425287356322,1.4925373134328361
vLLM,measured,raw_vllm,mistral_7b_instruct_v03,Mistral-7B,16,2048,2k,32,32,0,ok,26.561477661132812,27.00776200532913,145.61770951747894,145.9693455696106,58.152302793743324,70.37752505737782,43.69140625,224.912185695858,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,scaled_by_llama31_measured_infinigen_to_vllm_ratio,mistral_7b_instruct_v03,Mistral-7B,16,2048,2k,32,32,0,predicted,51.6270542898624,53.45788250645112,707.0392398024644,694.0983140256358,303.7717033879107,321.7063274870649,28.02081735966412,46.31747209047667,predicted from Llama-3.1 InfiniGen/vLLM ratio at the same batch/output setting,0.20593580533297737,0.5144875690951146,0.21030067732482546
KVCore (pred.),predicted,mechanism_based_from_vllm_and_blockwisepress_prior,mistral_7b_instruct_v03,Mistral-7B,16,2048,2k,32,32,0,predicted,22.444448623657227,22.821558894503113,88.82680280566214,85.39206715822219,30.820720480683963,37.30008828041025,26.87021484375,454.3226151056332,KVCore prediction assumes sparse block lifecycle reduces most but not all preemptions; gains grow with batch size and output length,2.02,1.183431952662722,1.7094017094017095
vLLM,measured,raw_vllm,mistral_7b_instruct_v03,Mistral-7B,16,6144,6k,32,32,0,ok,18.142070770263672,478.72963184833526,677.9157457351685,681.0621454715729,106.92386858551015,110.5131315680367,31.9404296875,144.98446772032295,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,scaled_by_llama31_measured_infinigen_to_vllm_ratio,mistral_7b_instruct_v03,Mistral-7B,16,6144,6k,32,32,0,predicted,60.512264085275824,47.57714549258791,1954.4104473433692,2035.6257774933717,309.9576863916952,323.71041211754334,32.61412754275463,50.280942480905736,predicted from Llama-3.1 InfiniGen/vLLM ratio at the same batch/output setting,0.3468022697293228,0.29980816359304097,0.3345713897916045
KVCore (pred.),predicted,mechanism_based_from_vllm_and_blockwisepress_prior,mistral_7b_instruct_v03,Mistral-7B,16,6144,6k,32,32,0,predicted,14.87649803161621,392.5582981156349,379.63281761169435,340.53107273578644,53.461934292755075,55.25656578401835,17.886640625000002,330.5645864023364,KVCore prediction assumes sparse block lifecycle reduces most but not all preemptions; gains grow with batch size and output length,2.2800000000000002,1.2195121951219514,2.0
vLLM,measured,raw_vllm,qwen3_8b,Qwen3-8B,1,1024,1k,32,32,0,ok,1.7430336475372314,1.7721561336517335,30.991223573684692,33.580936772823335,28.591360980581094,31.106600386189807,43.2783203125,32.776796571744,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,scaled_by_llama31_measured_infinigen_to_vllm_ratio,qwen3_8b,Qwen3-8B,1,1024,1k,32,32,0,predicted,2.322010608328632,4.5012207755408395,87.29514073614952,170.40659176152118,83.12959822280594,164.96791829167165,15.895806246221563,11.005276580363667,predicted from Llama-3.1 InfiniGen/vLLM ratio at the same batch/output setting,0.3357642518930914,0.750657056124242,0.19706360197508574
KVCore (pred.),predicted,mechanism_based_from_vllm_and_blockwisepress_prior,qwen3_8b,Qwen3-8B,1,1024,1k,32,32,0,predicted,1.673312301635742,1.701269888305664,25.412803330421447,28.2079868891716,21.15760712563001,23.01888428578046,33.75708984375,41.95429961183232,KVCore prediction assumes sparse block lifecycle reduces most but not all preemptions; gains grow with batch size and output length,1.28,1.0416666666666667,1.1904761904761905
vLLM,measured,raw_vllm,qwen3_8b,Qwen3-8B,1,2048,2k,32,32,0,ok,1.7588207721710205,1.7776486587524414,59.53867697715759,63.2662980055809,28.230354735836144,30.044924590898596,43.1455078125,34.03745392710171,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,scaled_by_llama31_measured_infinigen_to_vllm_ratio,qwen3_8b,Qwen3-8B,1,2048,2k,32,32,0,predicted,2.294167602235103,19.53891427194471,171.06631659962392,205.3003787828043,82.45782876821245,93.27968310025003,15.901877962509538,11.829305677099944,predicted from Llama-3.1 InfiniGen/vLLM ratio at the same batch/output setting,0.3475379122784819,0.7666487707600271,0.30816454592377013
KVCore (pred.),predicted,mechanism_based_from_vllm_and_blockwisepress_prior,qwen3_8b,Qwen3-8B,1,2048,2k,32,32,0,predicted,1.644497421979904,1.6621014959335325,44.654007732868195,47.76605499421358,18.914337673010216,20.130099475902057,31.2804931640625,52.417679047736634,KVCore prediction assumes sparse block lifecycle reduces most but not all preemptions; gains grow with batch size and output length,1.54,1.0695187165775402,1.324503311258278
vLLM,measured,raw_vllm,qwen3_8b,Qwen3-8B,1,6144,6k,32,32,0,ok,1.7512863874435425,1.7828674626350403,177.51289248466492,181.35914672851564,28.61004162548847,29.238037812715632,42.7548828125,34.56026841857289,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,scaled_by_llama31_measured_infinigen_to_vllm_ratio,qwen3_8b,Qwen3-8B,1,6144,6k,32,32,0,predicted,2.3154896754594962,4.171318673316227,479.87648917966806,601.0057350442291,77.72977616559577,97.46493395577666,15.954957023208175,12.341272315180928,predicted from Llama-3.1 InfiniGen/vLLM ratio at the same batch/output setting,0.3570942264021496,0.756335217558683,0.3017594278283702
KVCore (pred.),predicted,mechanism_based_from_vllm_and_blockwisepress_prior,qwen3_8b,Qwen3-8B,1,6144,6k,32,32,0,predicted,1.5936706125736235,1.6224093909978865,120.70876688957213,121.51062830810547,17.16602497529308,17.54282268762938,28.645771484375,62.2084831534312,KVCore prediction assumes sparse block lifecycle reduces most but not all preemptions; gains grow with batch size and output length,1.8,1.098901098901099,1.492537313432836
vLLM,measured,raw_vllm,qwen3_8b,Qwen3-8B,8,1024,1k,32,32,0,ok,13.835060954093933,14.159704203605651,55.23389136791229,55.85998296737671,40.57584002337265,52.81666108473539,43.1943359375,149.24751571741749,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,scaled_by_llama31_measured_infinigen_to_vllm_ratio,qwen3_8b,Qwen3-8B,8,1024,1k,32,32,0,predicted,18.902035800011724,29.413837538745366,171.5999531755002,234.98891060986347,148.7043667388053,201.49492185254266,21.16338840326149,44.62861287667432,predicted from Llama-3.1 InfiniGen/vLLM ratio at the same batch/output setting,0.2990241590431114,0.7319349672422772,0.23771327260679692
KVCore (pred.),predicted,mechanism_based_from_vllm_and_blockwisepress_prior,qwen3_8b,Qwen3-8B,8,1024,1k,32,32,0,predicted,12.659080772995948,12.95612934629917,41.42541852593422,42.174287140369415,27.185812815659673,35.3871629267727,31.3158935546875,226.85622389047458,KVCore prediction assumes sparse block lifecycle reduces most but not all preemptions; gains grow with batch size and output length,1.52,1.092896174863388,1.3245033112582782
vLLM,measured,raw_vllm,qwen3_8b,Qwen3-8B,8,2048,2k,32,32,0,ok,14.004830479621887,14.237955400943756,100.8487685918808,101.03664422035217,42.41857204893827,48.487318389055844,42.4130859375,162.7191340971734,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,scaled_by_llama31_measured_infinigen_to_vllm_ratio,qwen3_8b,Qwen3-8B,8,2048,2k,32,32,0,predicted,25.851888273472756,27.93446737545244,575.0432002444476,792.0721118134358,267.30674916059746,374.86721361636046,22.76250831054063,26.61734899920574,predicted from Llama-3.1 InfiniGen/vLLM ratio at the same batch/output setting,0.16357848231487185,0.5417333670744887,0.12755990611641468
KVCore (pred.),predicted,mechanism_based_from_vllm_and_blockwisepress_prior,qwen3_8b,Qwen3-8B,8,2048,2k,32,32,0,predicted,12.464299126863478,12.671780306839942,68.57716264247894,67.69455162763595,25.451143229362962,29.092391033433504,28.416767578125,289.64005869296864,KVCore prediction assumes sparse block lifecycle reduces most but not all preemptions; gains grow with batch size and output length,1.78,1.1235955056179776,1.4925373134328361
vLLM,measured,raw_vllm,qwen3_8b,Qwen3-8B,8,6144,6k,32,32,0,ok,13.941563963890076,14.069149208068847,293.0894718170166,295.65617632865906,45.67685345378505,47.73326904983682,39.716796875,167.56024125980437,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,scaled_by_llama31_measured_infinigen_to_vllm_ratio,qwen3_8b,Qwen3-8B,8,6144,6k,32,32,0,predicted,25.250816131054957,28.56584986299145,1260.8642038752757,1291.6085912728117,201.94688549475873,206.2361138484873,23.418185407338548,38.966089134866394,predicted from Llama-3.1 InfiniGen/vLLM ratio at the same batch/output setting,0.2325497316183077,0.5521233013432746,0.22890539620621878
KVCore (pred.),predicted,mechanism_based_from_vllm_and_blockwisepress_prior,qwen3_8b,Qwen3-8B,8,6144,6k,32,32,0,predicted,12.059452828764913,12.169814064979551,178.78457780838008,172.95886315226554,24.208732330506077,25.298632596413515,24.425830078125,341.8228921700009,KVCore prediction assumes sparse block lifecycle reduces most but not all preemptions; gains grow with batch size and output length,2.04,1.15606936416185,1.7094017094017095
vLLM,measured,raw_vllm,qwen3_8b,Qwen3-8B,16,1024,1k,32,32,0,ok,27.7696475982666,28.21835238933563,85.87563908100128,85.9920015335083,56.913346955270484,82.27289842836785,44.0693359375,190.78538824829934,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,scaled_by_llama31_measured_infinigen_to_vllm_ratio,qwen3_8b,Qwen3-8B,16,1024,1k,32,32,0,predicted,51.9229459735063,54.00690994911305,536.0628677096774,551.7469140718439,472.6401081891466,490.37785975491704,30.145297255741063,30.56679485348676,predicted from Llama-3.1 InfiniGen/vLLM ratio at the same batch/output setting,0.16021559687634637,0.5348241914554708,0.15585406884996394
KVCore (pred.),predicted,mechanism_based_from_vllm_and_blockwisepress_prior,qwen3_8b,Qwen3-8B,16,1024,1k,32,32,0,predicted,24.159593410491944,24.549966578722,58.39543457508086,57.61464102745055,34.14800817316229,49.36373905702071,29.526455078125,335.78228331700683,KVCore prediction assumes sparse block lifecycle reduces most but not all preemptions; gains grow with batch size and output length,1.76,1.1494252873563218,1.4925373134328361
vLLM,measured,raw_vllm,qwen3_8b,Qwen3-8B,16,2048,2k,32,32,0,ok,28.01558554172516,28.192502274513245,203.34864592552185,203.53671741485596,85.72602900983534,98.50653675980375,42.4228515625,161.14106974502465,measured raw requests,1.0,1.0,1.0
InfiniGen,predicted,scaled_by_llama31_measured_infinigen_to_vllm_ratio,qwen3_8b,Qwen3-8B,16,2048,2k,32,32,0,predicted,54.45337696107843,55.80290117546223,987.3488087847148,967.8367183786002,447.8092974127402,450.28830082657015,27.20724914888621,33.184715970159125,predicted from Llama-3.1 InfiniGen/vLLM ratio at the same batch/output setting,0.20593580533297737,0.5144875690951145,0.21030067732482546
