model,dataset,data_dir,dataset_key,method,compression_ratio,fraction,score_name,score,lower_is_better,metrics_path,config_path,predictions_path,status
llama31_8b_instruct,longbench,2wikimqa,longbench:2wikimqa,chunkkv,0.6,1.0,score,48.7,False,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__chunkkv__r0p6/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__chunkkv__0.60__query_aware/ATC26_metrics.json,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__chunkkv__r0p6/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__chunkkv__0.60__query_aware/ATC26_config.yaml,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__chunkkv__r0p6/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__chunkkv__0.60__query_aware/ATC26_predictions.csv,success
llama31_8b_instruct,longbench,2wikimqa,longbench:2wikimqa,chunkkv,0.7,1.0,score,47.79,False,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__chunkkv__r0p7/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__chunkkv__0.70__query_aware/ATC26_metrics.json,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__chunkkv__r0p7/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__chunkkv__0.70__query_aware/ATC26_config.yaml,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__chunkkv__r0p7/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__chunkkv__0.70__query_aware/ATC26_predictions.csv,success
llama31_8b_instruct,longbench,2wikimqa,longbench:2wikimqa,snapkv,0.3,1.0,score,51.1,False,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__snapkv__r0p3/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__snapkv__0.30__query_aware/ATC26_metrics.json,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__snapkv__r0p3/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__snapkv__0.30__query_aware/ATC26_config.yaml,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__snapkv__r0p3/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__snapkv__0.30__query_aware/ATC26_predictions.csv,success
llama31_8b_instruct,longbench,2wikimqa,longbench:2wikimqa,snapkv,0.4,1.0,score,51.71,False,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__snapkv__r0p4/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__snapkv__0.40__query_aware/ATC26_metrics.json,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__snapkv__r0p4/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__snapkv__0.40__query_aware/ATC26_config.yaml,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__snapkv__r0p4/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__snapkv__0.40__query_aware/ATC26_predictions.csv,success
llama31_8b_instruct,longbench,2wikimqa,longbench:2wikimqa,snapkv,0.5,0.01,score,0.0,False,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__snapkv__r0p5/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__snapkv__0.50__fraction0.010__query_aware/ATC26_metrics.json,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__snapkv__r0p5/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__snapkv__0.50__fraction0.010__query_aware/ATC26_config.yaml,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__snapkv__r0p5/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__snapkv__0.50__fraction0.010__query_aware/ATC26_predictions.csv,success
llama31_8b_instruct,longbench,2wikimqa,longbench:2wikimqa,snapkv,0.5,1.0,score,50.98,False,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__snapkv__r0p5/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__snapkv__0.50__query_aware/ATC26_metrics.json,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__snapkv__r0p5/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__snapkv__0.50__query_aware/ATC26_config.yaml,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__snapkv__r0p5/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__snapkv__0.50__query_aware/ATC26_predictions.csv,success
llama31_8b_instruct,longbench,2wikimqa,longbench:2wikimqa,snapkv,0.6,1.0,score,51.15,False,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__snapkv__r0p6/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__snapkv__0.60__query_aware/ATC26_metrics.json,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__snapkv__r0p6/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__snapkv__0.60__query_aware/ATC26_config.yaml,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__snapkv__r0p6/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__snapkv__0.60__query_aware/ATC26_predictions.csv,success
llama31_8b_instruct,longbench,2wikimqa,longbench:2wikimqa,snapkv,0.7,1.0,score,50.92,False,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__snapkv__r0p7/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__snapkv__0.70__query_aware/ATC26_metrics.json,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__snapkv__r0p7/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__snapkv__0.70__query_aware/ATC26_config.yaml,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__snapkv__r0p7/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__snapkv__0.70__query_aware/ATC26_predictions.csv,success
llama31_8b_instruct,longbench,gov_report,longbench:gov_report,blockwise,0.3,1.0,score,33.99,False,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_gov_report__blockwise__r0p3/longbench__gov_report__--Tan--mo-4a9a52dc19__block_wise__0.30__query_aware__qwindow64__topk4__d812087ecb5d/ATC26_metrics.json,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_gov_report__blockwise__r0p3/longbench__gov_report__--Tan--mo-4a9a52dc19__block_wise__0.30__query_aware__qwindow64__topk4__d812087ecb5d/ATC26_config.yaml,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_gov_report__blockwise__r0p3/longbench__gov_report__--Tan--mo-4a9a52dc19__block_wise__0.30__query_aware__qwindow64__topk4__d812087ecb5d/ATC26_predictions.csv,success
llama31_8b_instruct,longbench,gov_report,longbench:gov_report,blockwise,0.4,1.0,score,33.71,False,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_gov_report__blockwise__r0p4/longbench__gov_report__--Tan--mo-4a9a52dc19__block_wise__0.40__query_aware__qwindow64__topk4__54e106db8696/ATC26_metrics.json,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_gov_report__blockwise__r0p4/longbench__gov_report__--Tan--mo-4a9a52dc19__block_wise__0.40__query_aware__qwindow64__topk4__54e106db8696/ATC26_config.yaml,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_gov_report__blockwise__r0p4/longbench__gov_report__--Tan--mo-4a9a52dc19__block_wise__0.40__query_aware__qwindow64__topk4__54e106db8696/ATC26_predictions.csv,success
llama31_8b_instruct,longbench,gov_report,longbench:gov_report,blockwise,0.5,0.01,score,33.86,False,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_gov_report__blockwise__r0p5/longbench__gov_report__--Tan--mo-4a9a52dc19__block_wise__0.50__fraction0.010__query_aware__qwindow64__19a42f8b2401/ATC26_metrics.json,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_gov_report__blockwise__r0p5/longbench__gov_report__--Tan--mo-4a9a52dc19__block_wise__0.50__fraction0.010__query_aware__qwindow64__19a42f8b2401/ATC26_config.yaml,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_gov_report__blockwise__r0p5/longbench__gov_report__--Tan--mo-4a9a52dc19__block_wise__0.50__fraction0.010__query_aware__qwindow64__19a42f8b2401/ATC26_predictions.csv,success
llama31_8b_instruct,longbench,gov_report,longbench:gov_report,blockwise,0.5,1.0,score,32.83,False,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_gov_report__blockwise__r0p5/longbench__gov_report__--Tan--mo-4a9a52dc19__block_wise__0.50__query_aware__qwindow64__topk4__37a6f95db97c/ATC26_metrics.json,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_gov_report__blockwise__r0p5/longbench__gov_report__--Tan--mo-4a9a52dc19__block_wise__0.50__query_aware__qwindow64__topk4__37a6f95db97c/ATC26_config.yaml,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_gov_report__blockwise__r0p5/longbench__gov_report__--Tan--mo-4a9a52dc19__block_wise__0.50__query_aware__qwindow64__topk4__37a6f95db97c/ATC26_predictions.csv,success
llama31_8b_instruct,longbench,gov_report,longbench:gov_report,blockwise,0.6,1.0,score,31.81,False,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_gov_report__blockwise__r0p6/longbench__gov_report__--Tan--mo-4a9a52dc19__block_wise__0.60__query_aware__qwindow64__topk4__ede3213f7c61/ATC26_metrics.json,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_gov_report__blockwise__r0p6/longbench__gov_report__--Tan--mo-4a9a52dc19__block_wise__0.60__query_aware__qwindow64__topk4__ede3213f7c61/ATC26_config.yaml,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_gov_report__blockwise__r0p6/longbench__gov_report__--Tan--mo-4a9a52dc19__block_wise__0.60__query_aware__qwindow64__topk4__ede3213f7c61/ATC26_predictions.csv,success
llama31_8b_instruct,longbench,gov_report,longbench:gov_report,blockwise,0.7,1.0,score,30.56,False,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_gov_report__blockwise__r0p7/longbench__gov_report__--Tan--mo-4a9a52dc19__block_wise__0.70__query_aware__qwindow64__topk4__cb2120729f11/ATC26_metrics.json,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_gov_report__blockwise__r0p7/longbench__gov_report__--Tan--mo-4a9a52dc19__block_wise__0.70__query_aware__qwindow64__topk4__cb2120729f11/ATC26_config.yaml,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_gov_report__blockwise__r0p7/longbench__gov_report__--Tan--mo-4a9a52dc19__block_wise__0.70__query_aware__qwindow64__topk4__cb2120729f11/ATC26_predictions.csv,success
llama31_8b_instruct,longbench,gov_report,longbench:gov_report,chunkkv,0.3,1.0,score,34.19,False,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_gov_report__chunkkv__r0p3/longbench__gov_report__--Tan--model--Llama-3.1-8B-Instruct__chunkkv__0.30__query_aware/ATC26_metrics.json,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_gov_report__chunkkv__r0p3/longbench__gov_report__--Tan--model--Llama-3.1-8B-Instruct__chunkkv__0.30__query_aware/ATC26_config.yaml,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_gov_report__chunkkv__r0p3/longbench__gov_report__--Tan--model--Llama-3.1-8B-Instruct__chunkkv__0.30__query_aware/ATC26_predictions.csv,success
llama31_8b_instruct,longbench,gov_report,longbench:gov_report,chunkkv,0.4,1.0,score,33.62,False,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_gov_report__chunkkv__r0p4/longbench__gov_report__--Tan--model--Llama-3.1-8B-Instruct__chunkkv__0.40__query_aware/1/ATC26_metrics.json,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_gov_report__chunkkv__r0p4/longbench__gov_report__--Tan--model--Llama-3.1-8B-Instruct__chunkkv__0.40__query_aware/1/ATC26_config.yaml,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_gov_report__chunkkv__r0p4/longbench__gov_report__--Tan--model--Llama-3.1-8B-Instruct__chunkkv__0.40__query_aware/1/ATC26_predictions.csv,success
llama31_8b_instruct,longbench,gov_report,longbench:gov_report,chunkkv,0.5,0.01,score,34.34,False,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_gov_report__chunkkv__r0p5/longbench__gov_report__--Tan--model--Llama-3.1-8B-Instruct__chunkkv__0.50__fraction0.010__query_aware/ATC26_metrics.json,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_gov_report__chunkkv__r0p5/longbench__gov_report__--Tan--model--Llama-3.1-8B-Instruct__chunkkv__0.50__fraction0.010__query_aware/ATC26_config.yaml,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_gov_report__chunkkv__r0p5/longbench__gov_report__--Tan--model--Llama-3.1-8B-Instruct__chunkkv__0.50__fraction0.010__query_aware/ATC26_predictions.csv,success
